product,term,recent_mentions,baseline_mentions,recent_rate_percent,baseline_rate_percent,growth_rate_percent,emergence_score,recent_start,recent_end,baseline_start,baseline_end
Credit card,best buy,9,18,8.18,2.99,174.09,5.2,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,make payment,8,13,7.27,2.16,237.34,5.12,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,phone number,9,21,8.18,3.48,134.94,4.7,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,account time,5,4,4.55,0.66,585.23,3.88,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,disputed charges,5,4,4.55,0.66,585.23,3.88,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,buy credit,6,10,5.45,1.66,228.91,3.8,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,new card,7,16,6.36,2.65,139.83,3.71,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,citi card,7,16,6.36,2.65,139.83,3.71,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,use card,7,18,6.36,2.99,113.18,3.38,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,credit billing,9,29,8.18,4.81,70.13,3.37,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,credit score,11,40,10.0,6.63,50.75,3.37,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,defective merchandise,4,2,3.64,0.33,996.36,3.3,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,charges credit,4,2,3.64,0.33,996.36,3.3,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,financial institution,6,13,5.45,2.16,153.01,3.3,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,letter dated,5,8,4.55,1.33,242.61,3.22,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,card told,4,3,3.64,0.5,630.91,3.14,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,fraudulent activity,5,9,4.55,1.49,204.55,3.05,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,hard inquiry,5,10,4.55,1.66,174.09,2.89,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,proof received,3,0,2.73,0.0,,2.73,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,formally request,3,0,2.73,0.0,,2.73,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,initiated dispute,3,0,2.73,0.0,,2.73,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,application id,3,0,2.73,0.0,,2.73,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,customer support,5,11,4.55,1.82,149.17,2.72,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,associated account,4,6,3.64,1.0,265.45,2.64,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,reduced credit,4,6,3.64,1.0,265.45,2.64,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,buy sent,3,1,2.73,0.17,1544.55,2.56,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,card fraud,3,1,2.73,0.17,1544.55,2.56,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,letter mail,3,1,2.73,0.17,1544.55,2.56,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,automated phone,3,1,2.73,0.17,1544.55,2.56,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Credit card,used knowledge,3,1,2.73,0.17,1544.55,2.56,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,online banking,12,32,11.01,4.44,147.71,6.56,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,formally request,5,3,4.59,0.42,1000.92,4.17,2026-07-23,2026-07-29,2026-06-25,2026-07-22
