issue,precision,recall,f1-score,support
Closing an account,0.46875,0.5769230769230769,0.5172413793103449,26.0
Closing your account,0.8571428571428571,0.46153846153846156,0.6,13.0
Fees or interest,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
Getting a credit card,0.7142857142857143,0.7692307692307693,0.7407407407407407,13.0
Managing an account,0.7222222222222222,0.4482758620689655,0.5531914893617021,87.0
Opening an account,0.56,0.8235294117647058,0.6666666666666666,17.0
"Other features, terms, or problems",0.8461538461538461,0.55,0.6666666666666666,20.0
Problem caused by your funds being low,0.6190476190476191,0.7647058823529411,0.6842105263157895,17.0
Problem when making payments,0.375,0.5454545454545454,0.4444444444444444,11.0
Problem with a lender or other company charging your account,0.30303030303030304,0.4166666666666667,0.3508771929824561,24.0
Problem with a purchase shown on your statement,0.7037037037037037,0.8444444444444444,0.7676767676767676,45.0
accuracy,0.6095890410958904,0.6095890410958904,0.6095890410958904,0.6095890410958904
macro avg,0.6240898581363009,0.6402613076002247,0.6139655123700309,292.0
weighted avg,0.6462262892210033,0.6095890410958904,0.608340401446283,292.0
